


电视,#genre#
浙江卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225928/index.m3u8?hls
湖南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225719/index.m3u8?hls
湖南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225919/index.m3u8?hls
湖北卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225721/index.m3u8?hls
湖北卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225954/index.m3u8?hls
山东卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225672/index.m3u8?hls
山东卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221226010/index.m3u8?hls
安徽卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225701/index.m3u8?hls
安徽卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225886/index.m3u8?hls
东南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225904/index.m3u8?hls
河南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225806/index.m3u8?hls
河北卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225773/index.m3u8?hls
江西卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225957/index.m3u8?hls
辽宁卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225779/index.m3u8?hls
辽宁卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221226007/index.m3u8?hls
吉林卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225678/index.m3u8?hls
黑龙江卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225734/index.m3u8?hls
黑龙江卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221226019/index.m3u8?hls
海南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225752/index.m3u8?hls
四川卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225757/index.m3u8?hls
贵州卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225770/index.m3u8?hls
云南卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225794/index.m3u8?hls
甘肃卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225764/index.m3u8?hls
青海卫视,http://39.135.46.243:6610/PLTV/77777777/224/3221225705/index.m3u8?hls


北京卫视,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001029/1.m3u8
东方卫视,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001013/1.m3u8
